epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.981,1.32536,2.11769,1.56964,0.45532,0.3228,0.30913,0.15113,1.9772,2.62058,2.31551,0.000473987,0.000473987,0.000473987
2,215.539,1.67881,2.29278,1.87483,0.20026,0.23606,0.12758,0.04424,2.31416,4.44423,2.66956,0.000945616,0.000945616,0.000945616
3,362.924,1.78187,2.36689,1.94619,0.15857,0.16208,0.10066,0.04364,2.28236,3.01117,2.71251,0.00141253,0.00141253,0.00141253
4,565.412,1.73266,2.32582,1.91235,0.39089,0.30281,0.28539,0.15573,2.01023,2.47998,2.2723,0.00140778,0.00140778,0.00140778
5,759.431,1.70358,2.27471,1.87796,0.24216,0.31825,0.25361,0.14521,1.99316,2.61111,2.30242,0.00140071,0.00140071,0.00140071
6,904.466,1.62427,2.12543,1.81218,0.46174,0.37268,0.38845,0.22312,1.7981,2.16245,2.03411,0.00139363,0.00139363,0.00139363
7,1071.86,1.5238,2.07321,1.75559,0.46086,0.36776,0.3772,0.20423,1.80666,2.22343,2.04752,0.00138656,0.00138656,0.00138656
8,1173.36,1.52718,2.06686,1.76052,0.40221,0.42253,0.39866,0.23383,1.71818,2.0286,2.01,0.00137949,0.00137949,0.00137949
9,1278.33,1.52269,2.01102,1.74594,0.51477,0.36625,0.41186,0.25142,1.73252,2.07868,1.94313,0.00137241,0.00137241,0.00137241
10,1390.63,1.43153,1.87431,1.69124,0.48854,0.42626,0.44299,0.28532,1.60157,1.95611,1.86198,0.00136534,0.00136534,0.00136534
11,1496.36,1.4055,1.87998,1.6631,0.59683,0.39421,0.4533,0.2935,1.64767,2.02887,1.92233,0.00135826,0.00135826,0.00135826
12,1601.5,1.37459,1.78319,1.63664,0.46829,0.46401,0.46302,0.28482,1.66633,1.91189,1.92158,0.00135119,0.00135119,0.00135119
13,1713.4,1.38194,1.82201,1.64122,0.61248,0.43773,0.4871,0.30529,1.6025,1.87058,1.8514,0.00134412,0.00134412,0.00134412
14,1878.8,1.36302,1.73548,1.61762,0.47731,0.42782,0.43323,0.27686,1.60652,2.02654,1.83754,0.00133704,0.00133704,0.00133704
15,1993.33,1.35434,1.70747,1.60604,0.52536,0.46851,0.48983,0.31198,1.56387,1.9015,1.80944,0.00132997,0.00132997,0.00132997
16,2102.58,1.32002,1.71073,1.5859,0.5148,0.50705,0.52031,0.33208,1.60893,1.82646,1.85846,0.0013229,0.0013229,0.0013229
17,2261.92,1.32971,1.6911,1.59145,0.52818,0.46674,0.49112,0.31951,1.51308,1.76595,1.79288,0.00131582,0.00131582,0.00131582
18,2388.93,1.28667,1.62242,1.56294,0.51793,0.47826,0.49935,0.3234,1.55418,1.78771,1.79343,0.00130875,0.00130875,0.00130875
19,2500.03,1.28137,1.61463,1.56659,0.53762,0.47395,0.50906,0.33177,1.48741,1.73196,1.74711,0.00130168,0.00130168,0.00130168
20,2619.28,1.27478,1.59279,1.55621,0.51784,0.51148,0.51565,0.34607,1.4672,1.75076,1.74091,0.0012946,0.0012946,0.0012946
21,2759.22,1.24138,1.56854,1.54225,0.60414,0.51927,0.52622,0.34306,1.52864,1.66417,1.78389,0.00128753,0.00128753,0.00128753
22,2936.23,1.23217,1.51534,1.51474,0.52037,0.54038,0.53742,0.35057,1.52046,1.64224,1.73564,0.00128046,0.00128046,0.00128046
23,3129.47,1.21604,1.51357,1.50439,0.57427,0.48887,0.52319,0.34641,1.47322,1.65449,1.71416,0.00127338,0.00127338,0.00127338
24,3233.96,1.21422,1.47986,1.50812,0.55207,0.53977,0.54485,0.35858,1.46759,1.60635,1.70849,0.00126631,0.00126631,0.00126631
